neg_rho_point_peak,neg_rho_total_volume_burden,neg_rho_live_packet_burden,neg_rho_geometric_packet_burden,neg_rho_live_packet_fraction,neg_rho_geometric_packet_fraction,neg_rho_live_point_peak,neg_Tkk_point_peak,neg_Tkk_total_volume_burden,neg_Tkk_live_packet_burden,neg_Tkk_geometric_packet_burden,neg_Tkk_live_packet_fraction,neg_Tkk_geometric_packet_fraction,neg_Tkk_live_point_peak,abs_p_l_point_peak,abs_p_l_total_volume_burden,abs_p_l_live_packet_burden,abs_p_l_geometric_packet_burden,abs_p_l_live_packet_fraction,abs_p_l_geometric_packet_fraction,abs_p_l_live_point_peak,abs_pOmega_point_peak,abs_pOmega_total_volume_burden,abs_pOmega_live_packet_burden,abs_pOmega_geometric_packet_burden,abs_pOmega_live_packet_fraction,abs_pOmega_geometric_packet_fraction,abs_pOmega_live_point_peak,abs_j_l_point_peak,abs_j_l_total_volume_burden,abs_j_l_live_packet_burden,abs_j_l_geometric_packet_burden,abs_j_l_live_packet_fraction,abs_j_l_geometric_packet_fraction,abs_j_l_live_point_peak,max_packet_norm_live,packet_positive_live_points,quarantine_score_lower_better,candidate,V,grid,failures,Rth,ROmega,w_th,wOmega,aOmega,w_pass
0.02277953270303627,170.55366607566995,0.0,13.824283886446318,0.0,0.08105533117249362,0.0,0.1982902450869644,77114.37570394011,18684.724420622006,18909.066499987264,0.24229884830238368,0.2452080604605234,0.12807018706525988,0.04431326361794819,19409.37511498051,5865.890100835681,5911.862312325285,0.3022194205679646,0.3045879775780314,0.014761207354904916,0.6390070521563203,1699.1100040831193,25.674439283285153,152.14332756674082,0.015110522109567414,0.08954295319380515,0.08291614739385071,0.03039012135771459,79.31528435501373,0.5839647456662395,7.418256945793236,0.007362575201173385,0.09352871903716889,0.0005834949061195796,-8.556382445756123,0,1.3864076540707149,freeze,2.0,refined_15x31,0,,,,,,
0.014854227635320242,172.07979070054137,0.0,3.5231647288076777,0.0,0.020474017980059024,0.0,0.10110481915408559,118929.47490344658,17815.718028005496,18517.200763261146,0.1498006952647295,0.1556990037860204,0.08058698122469775,0.022701544080888713,22629.55008724723,5641.074130948218,5723.471187731424,0.24927911112679246,0.2529202377274331,0.009528406560376353,0.18312113624917478,2094.172046765686,1.7850162412869313,84.45612450998043,0.0008523732536893394,0.04032912417125301,8.989624721600518e-05,0.02091905224128137,163.59434819042247,0.6771542813122776,21.443435702178785,0.004139227844986892,0.13107687361680004,4.647927840195569e-05,-727.011593086973,0,1.0074608346384468,R1p75_quarantine,2.0,refined_15x31,0,1.75,1.75,0.35,1.4,0.2,
0.012324860908783928,164.30971858763937,0.0,1.63416403180539,0.0,0.009945632223414472,0.0,0.08775247476339625,149219.97916928257,18308.60386722358,19064.929093111747,0.12269539219311504,0.12776391740065546,0.06371080639534726,0.019861964926727253,27189.571833635484,5790.577987006945,5885.0631210567635,0.21297054703316723,0.21644559749103923,0.007295185449606721,0.18509310701358142,2803.421856806131,2.6911672786202714,156.00989212338496,0.000959958014198495,0.05564980944434925,8.864807387737852e-05,0.018654258983233824,199.97745051680235,0.6447841032257863,27.223377955394117,0.00322428404582351,0.13613223833507557,2.7774996261361614e-05,-1129.0963937814747,0,0.847620877958434,R2p0_quarantine,2.0,refined_15x31,0,2.0,2.0,0.35,1.6,0.2,
0.026199950056167626,162.3701255512483,0.0,10.69332435746268,0.0,0.06585770825241855,0.0,0.2255632774043489,80660.83556905166,17596.894429412736,17946.897430610752,0.21815908929369432,0.22249828313825085,0.17712154342897712,0.03618731465163487,16201.261697443866,5474.481585264995,5517.769581676778,0.3379046451751795,0.34057653562545304,0.017614384011127842,0.25103418626079604,1326.7967177921823,3.021469166965688,90.04530145120201,0.0022772660848856155,0.0678666899335109,0.001581507300948459,0.02881711013718025,89.65850453530282,1.0391711810374922,10.3191957147712,0.011590324715134201,0.11509444383726075,0.0011228944895874946,-18.00596946944548,0,1.4075324691196192,broad_packet_edge,2.0,refined_15x31,0,,,0.25,1.2,0.25,0.1
0.02277953270303627,170.55366607353,0.0,13.824283884306361,0.0,0.08105533116096351,0.0,0.19829024508696447,87730.35434280921,27140.58198660677,27364.924061366757,0.3093636426060023,0.3119208199528914,0.12807018576118123,0.04431326361794819,19409.385075533075,5865.8952097885485,5911.8674212548085,0.3022195286950606,0.30458808448842317,0.014761206696628728,0.6390070521563203,1699.4689937638059,25.828039170276607,152.29692751779635,0.015197711323391297,0.08961441960791827,0.08291610443084398,0.03039012135771459,79.32456235557912,0.5924148999440442,7.426707101833794,0.007468240382953439,0.09362430603200741,0.000583495443286855,-8.556038809303816,0,1.5540867465291277,freeze,5.0,refined_15x31,0,,,,,,
0.014854227635320242,172.07979070054137,0.0,3.5231647288076884,0.0,0.020474017980059087,0.0,0.10110481915408559,128254.17370846236,25239.37130858991,25940.854035442895,0.19679181252972033,0.20226128542537472,0.08058341982000349,0.022701544080888713,22629.55930521007,5641.079000197922,5723.4760569319515,0.2492792247571149,0.2529203498723998,0.009528412051192888,0.18312113624917478,2094.7165534286355,2.0172158970533887,84.68832502492589,0.0009630018408703585,0.04042949146809763,8.98991153666844e-05,0.02091905224128137,163.60358773586498,0.6853402879615971,21.45162171040765,0.0041890296994468515,0.1311195066519012,4.647928899932794e-05,-727.0040216556346,0,1.124884923762875,R1p75_quarantine,5.0,refined_15x31,0,1.75,1.75,0.35,1.4,0.2,
0.012324860908783928,164.3097185876394,0.0,1.6341640318053858,0.0,0.009945632223414446,0.0,0.08775247476339625,159006.10113180266,25986.271627787282,26742.59684228118,0.16342939951874458,0.1681859793550552,0.06370728435586218,0.019861964926727253,27189.580889475088,5790.582774916158,5885.067908914307,0.21297065219411512,0.2164457014926765,0.007295189563534967,0.18509310701358142,2804.1107432526082,2.9825297841385954,156.30125554955987,0.0010636276728068989,0.05574004376455523,8.865088619400774e-05,0.018654258983233824,199.98674486525104,0.6528190831267797,27.231412934390466,0.003264311760095112,0.13616608917125336,2.777499850045524e-05,-1129.0861505458856,0,0.9494438832824874,R2p0_quarantine,5.0,refined_15x31,0,2.0,2.0,0.35,1.6,0.2,
0.026199950056167626,162.3701255512386,0.0,10.69332435745266,0.0,0.06585770825236077,0.0,0.2255632774043489,89597.84039560678,24729.860709769153,25079.86370875424,0.2760095622905407,0.27991593991571223,0.17712154372643546,0.03618731465163487,16201.271870003668,5474.486566974161,5517.774563361364,0.3379047404981867,0.34057662926929916,0.017614392994295687,0.251034186270479,1326.950464525311,3.088266001799206,90.11209860747836,0.002327340834764295,0.06790916542594082,0.0015814837666084918,0.02881711013718025,89.66740652985798,1.047311487109611,10.327336024538164,0.01167995738519404,0.11517380087378022,0.0011228947145117485,-18.00539325338068,0,1.552082188389919,broad_packet_edge,5.0,refined_15x31,0,,,0.25,1.2,0.25,0.1
0.02277953270303627,170.55366606996324,0.0,13.824283880739607,0.0,0.0810553311417458,0.0,0.20111867827179292,110596.92519709506,45187.95010912583,45412.292176210365,0.4085823365215287,0.4106108022016074,0.16625918203987053,0.04431326361794819,19409.408464384313,5865.912062533866,5911.884273961223,0.3022200327896464,0.3045885857268322,0.014761205599500539,0.6390070521563203,1699.9010592496506,26.003678246031622,152.4725667003245,0.015297171623335446,0.08969496540441423,0.0829160328258238,0.03039012135771459,79.34192328645264,0.6063100914884139,7.440602296316135,0.007641736756234383,0.0937789504982493,0.0005834963385610793,-8.555465970560219,0,1.80214334096614,freeze,10.0,refined_15x31,0,,,,,,
0.014854227635320242,172.07979070054128,0.0,3.5231647288076564,0.0,0.02047401798005891,0.0,0.13867668344932954,148138.97172238323,40379.370209290595,41080.85292213907,0.27257763260948453,0.27731293422993236,0.10154837232947383,0.022701544080888713,22629.580566992052,5641.094372910066,5723.491429562134,0.2492796698644197,0.25292079155503794,0.009528428830992603,0.18312113624917478,2095.368727976981,2.2873966561651367,84.95850721600081,0.0010916439792310697,0.04054585051387392,8.99038956160794e-05,0.02091905224128137,163.62113986222164,0.6981484811190087,21.46442990619767,0.004266859903964058,0.13118372066269643,4.647930666169625e-05,-726.9914001505933,0,1.3141899717234888,R1p75_quarantine,10.0,refined_15x31,0,1.75,1.75,0.35,1.4,0.2,
0.012324860908783928,164.3097185876395,0.0,1.6341640318053858,0.0,0.009945632223414439,0.0,0.12287802328033541,179895.22645098148,41232.31734901372,41988.64254451721,0.2292018424415995,0.23340609627548084,0.07457783369595596,0.019861964926727253,27189.601457913715,5790.5976619372705,5885.082795849303,0.2129710386119646,0.21644608527854717,0.007295202146952708,0.18509310701358142,2804.9545527648356,3.3375957337546285,156.65632303360113,0.00118989298078458,0.05584986141011997,8.865557338660612e-05,0.018654258983233824,200.0050448065296,0.665132771068515,27.2437266208239,0.0033255799708048176,0.13621519720753797,2.777500223235178e-05,-1129.0690751682127,0,1.1137873258357316,R2p0_quarantine,10.0,refined_15x31,0,2.0,2.0,0.35,1.6,0.2,
0.026199950056167626,162.37012555122203,0.0,10.693324357435804,0.0,0.06585770825226367,0.0,0.2255632774043489,108301.49192363936,40190.685353833636,40540.6883491305,0.3711000157058877,0.3743317624628358,0.19236470911967718,0.03618731465163487,16201.295010034377,5474.502408755962,5517.790405102197,0.33790523568426434,0.34057712063663537,0.017614420251037276,0.25103418628661645,1327.3041308720908,3.2171721447614248,90.24100528617798,0.0024238394727571716,0.06798818988598047,0.0015814445427024496,0.02881711013718025,89.6824914255291,1.0607445049975912,10.340769048584342,0.011827776951072067,0.11530421249694152,0.0011228950893855507,-18.004432706604042,0,1.789716560753869,broad_packet_edge,10.0,refined_15x31,0,,,0.25,1.2,0.25,0.1
