xOmega,wtOmega,closure,ns,nl,max_packet_norm_on_packet,positive_packet_points,max_gtt_support_edge,positive_gtt_support_edge_points,worst_service_edge_Tkk,worst_packet_support_Tkk,worst_packet_support_rho_pkt,worst_rho_overall,max_j_abs_overall,max_p_l_abs_overall,max_p_om_abs_overall,late_tail_edge_Tkk,late_tail_edge_max_p_om,angular_reset_edge_Tkk,score,par_a,par_R,par_w,par_x,par_wt
1.7,0.4,soft_jacket,151,225,-0.7499999990211594,0,-1.0000047225242485,0,-0.37225330047333927,-0.5095731961471515,-0.047256899075510464,-0.03030491074928267,0.21007159640520065,0.08625877712918147,1.3915103030734242,-0.027324095554962003,0.007298854467526585,-0.08654926949991258,2.039004213512663,0.35,1.25,0.7,1.7,0.4
1.7,0.6,soft_jacket,151,225,-0.7499999990211594,0,-1.0000047225242485,0,-0.5225350106980118,-0.5221330942729592,-0.065358289989074,-0.03479267148010903,0.2170769879597454,0.051098580953413596,1.392082470943668,-0.029743416367119378,0.0065832927010610835,-0.11195425004141042,2.3212091398456502,0.35,1.25,0.7,1.7,0.6
1.7,0.8,soft_jacket,151,225,-0.7499999990211594,0,-1.0000047225242485,0,-0.6118775002384931,-0.6109932297143299,-0.08310123594970609,-0.03924141188800829,0.22103750119761795,0.03860733690967814,1.3920897959116108,-0.0263296140437594,0.005717778234117768,-0.12218447798971455,2.663249216788025,0.35,1.25,0.7,1.7,0.8
1.7,1.0,soft_jacket,151,225,-0.7499999990211594,0,-1.0000047225242485,0,-0.6549984477249353,-0.6533917384458956,-0.09541401518419801,-0.042884660277298675,0.22363743715008697,0.04005756428406959,1.3921592858606817,-0.02217181159993372,0.005018090580003342,-0.12776057627055917,2.8349408711868906,0.35,1.25,0.7,1.7,1.0
1.85,0.4,soft_jacket,151,225,-0.7499999990211594,0,-1.0000047225242485,0,-0.4190079900446839,-0.6327457775941507,-0.05488135306542061,-0.029216874191346862,0.200131267498206,0.08711147480472782,1.3899602390013162,-0.038402151063102435,0.007107198655718137,-0.07033956275745044,2.3768615094899896,0.35,1.25,0.7,1.85,0.4
1.85,0.6,soft_jacket,151,225,-0.7499999990211594,0,-1.0000047225242485,0,-0.4269720305816236,-0.5788641135522621,-0.06244672632608197,-0.03225410993107553,0.2080008111863361,0.051199672424938385,1.3909562758172955,-0.03492086486804195,0.00603405764327415,-0.08948048674460125,2.2860043391904097,0.35,1.25,0.7,1.85,0.6
1.85,0.8,soft_jacket,151,225,-0.7499999990211594,0,-1.0000047225242485,0,-0.5206853249052479,-0.599841113820589,-0.075812667523133,-0.03606055856066579,0.2132955519678338,0.038621075466577386,1.3913176456588403,-0.027724733170818305,0.005015777889537358,-0.10643823043546792,2.4869920286888503,0.35,1.25,0.7,1.85,0.8
1.85,1.0,soft_jacket,151,225,-0.7499999990211594,0,-1.0000047225242485,0,-0.5784962960745901,-0.6447928485618926,-0.0877247291591341,-0.0395893771848733,0.21700531370088003,0.03785088113694734,1.391541865809353,-0.023255800827419827,0.004329554863858278,-0.11570380791431165,2.6846246014442854,0.35,1.25,0.7,1.85,1.0
2.0,0.4,soft_jacket,151,225,-0.7499999990211594,0,-1.0000047225242485,0,-0.49369860795209997,-0.7060193849649892,-0.061695446530794375,-0.02878099346930879,0.19455210881505686,0.08726940683298903,1.3891249686154734,-0.05457639703947785,0.010458314405581468,-0.06945838125355969,2.662379593708941,0.35,1.25,0.7,2.0,0.4
2.0,0.6,soft_jacket,151,225,-0.7499999990211594,0,-1.0000047225242485,0,-0.4421455639641565,-0.6425270100407747,-0.06297443390343904,-0.03067551875535761,0.20139976750199082,0.05122384374623299,1.3900713367651667,-0.03888979703986328,0.005172615577009379,-0.07611864864726146,2.437688768264166,0.35,1.25,0.7,2.0,0.6
2.0,0.8,soft_jacket,151,225,-0.7499999990211594,0,-1.0000047225242485,0,-0.4530831383822418,-0.6365933276964917,-0.07207390770976095,-0.03373341165187001,0.2070091101552744,0.03759024987954701,1.3906153190749113,-0.029361106539534686,0.004089194649967574,-0.09420255093167924,2.449694212828141,0.35,1.25,0.7,2.0,0.8
2.0,1.0,soft_jacket,151,225,-0.7499999990211594,0,-1.0000047225242485,0,-0.5131399091175615,-0.6601933008892154,-0.08211909654328792,-0.036932107958904746,0.21123768081317953,0.03620870164197393,1.3909621742201106,-0.023807320563118108,0.0035135760301469978,-0.10532718657431918,2.603267756136665,0.35,1.25,0.7,2.0,1.0
2.2,0.4,soft_jacket,151,225,-0.7499999990211594,0,-1.0000047225242485,0,-0.5405561754847792,-0.7572399509574463,-0.06717097120921305,-0.028607468080669322,0.19116817061479963,0.08471879424064122,1.3886200941718287,-0.06924882746087546,0.016860585017698146,-0.06857514520831734,2.858197672726729,0.35,1.25,0.7,2.2,0.4
2.2,0.6,soft_jacket,151,225,-0.7499999990211594,0,-1.0000047225242485,0,-0.4970055618599012,-0.7061371606106892,-0.06573690086356068,-0.029516804588768354,0.19572242818298252,0.04488077349174221,1.389283212027016,-0.04085955827288004,0.006008087415598987,-0.0699567724029041,2.6498339519542977,0.35,1.25,0.7,2.2,0.6
2.2,0.8,soft_jacket,151,225,-0.7499999990211594,0,-1.0000047225242485,0,-0.48579975515639906,-0.6822965154037748,-0.07002497153945861,-0.03162038699773185,0.20072186614639442,0.03307674060425108,1.3898564360797585,-0.029800815767866196,0.0026390806935429503,-0.08371414332574749,2.5819058430553676,0.35,1.25,0.7,2.2,0.8
2.2,1.0,soft_jacket,151,225,-0.7499999990211594,0,-1.0000047225242485,0,-0.500715161030007,-0.6854468450262869,-0.07723114025662137,-0.03423897213944569,0.20499584365176132,0.03467417307954477,1.390284695776523,-0.02381318290341647,0.0022626865733035954,-0.09460133843906476,2.6216847731304664,0.35,1.25,0.7,2.2,1.0
2.4,0.4,soft_jacket,151,225,-0.7499999990211594,0,-1.0000047225242485,0,-0.5590009314554976,-0.7770555390266605,-0.06961716440594459,-0.028573649279720014,0.18990044438008308,0.036574770269040664,1.3884282341315515,-0.06919380869280113,0.016723971510743865,-0.06839082036077705,2.915227501131744,0.35,1.25,0.7,2.4,0.4
2.4,0.6,soft_jacket,151,225,-0.7499999990211594,0,-1.0000047225242485,0,-0.5305747241524232,-0.7442031971387522,-0.06786627199711251,-0.028974622063263556,0.1926182461698511,0.03249099871053925,1.3888309752641488,-0.04085229691058871,0.0059401534208064245,-0.07023931748796322,2.775234390398663,0.35,1.25,0.7,2.4,0.6
2.4,0.8,soft_jacket,151,225,-0.7499999990211594,0,-1.0000047225242485,0,-0.5133201459408955,-0.7181517603682339,-0.06963635344217411,-0.030323262813714055,0.1964123717895263,0.03278533992319409,1.389310959202622,-0.029799242982143488,0.0025389392256247685,-0.0784227793097393,2.691794121266417,0.35,1.25,0.7,2.4,0.8
2.4,1.0,soft_jacket,151,225,-0.7499999990211594,0,-1.0000047225242485,0,-0.5153512151715899,-0.7102869182947851,-0.07440897184283254,-0.032340651526105796,0.20032755506220346,0.03384116713707647,1.3897380491715108,-0.02381189103377151,0.001670755843284756,-0.0872621951240493,2.6850073291143426,0.35,1.25,0.7,2.4,1.0
2.6,0.4,soft_jacket,151,225,-0.7499999990211594,0,-1.0000047225242485,0,-0.5663125390365337,-0.7844821619353342,-0.07067438002857378,-0.028567882255206546,0.1894628054239544,0.03657357732826921,1.388356805103942,-0.06921100085326672,0.0167268691540711,-0.0727097047021972,2.9429498900119326,0.35,1.25,0.7,2.6,0.4
2.6,0.6,soft_jacket,151,225,-0.7499999990211594,0,-1.0000047225242485,0,-0.5494277688916669,-0.7653181949160972,-0.0692990038919981,-0.028734525221481504,0.1909231677408358,0.03249151543763413,1.388585090955048,-0.040845493259431806,0.005936556423700748,-0.07198281132689192,2.847718346358089,0.35,1.25,0.7,2.6,0.6
2.6,0.8,soft_jacket,151,225,-0.7499999990211594,0,-1.0000047225242485,0,-0.5334783469956362,-0.7435130615076151,-0.06983594930423873,-0.029552647640065422,0.19365876630254003,0.03264188615989854,1.3889433762918422,-0.029798110265052545,0.00253089580463147,-0.07618920488886434,2.77167710782523,0.35,1.25,0.7,2.6,0.8
2.6,1.0,soft_jacket,151,225,-0.7499999990211594,0,-1.0000047225242485,0,-0.5292308120837227,-0.7314647868978827,-0.07285036800374135,-0.03103470903997057,0.19685372454304395,0.03332624037533167,1.3893204368533938,-0.023810803383679347,0.0017052714501835273,-0.08259178184739416,2.743110131224642,0.35,1.25,0.7,2.6,1.0
