phase,zone,min_N,min_R,max_B,min_Tkk_geo,min_Tkk_total,max_Tkk_total,max_abs_flux_geo,max_abs_Kll,max_abs_Kth,max_abs_theta,max_abs_B_rate,max_abs_R_rate,max_abs_N_rate,max_abs_dlogB_dl,max_abs_dlogN_dl,max_abs_R_l,max_abs_R_ll,max_abs_R_t,max_abs_R_tt
B_setup,access,1.0,1.0,7.999999982926166,-0.0006237046396626243,-0.0006237046396626243,-2.4566568363102977e-09,1.2260473825869476e-06,0.02897806740198037,1.5020399266357008e-05,0.0007517984381721581,0.02897806740198037,1.5020399266357008e-05,4.440892098500626e-16,4.9139996409448155e-06,0.0,0.0003759046216025297,0.007837814461927346,1.5020615143246374e-05,0.0005165207414774832
B_setup,support,1.0,1.0,7.999999982926166,-0.04325532858193482,-0.04325532858193482,-2.4566568363102977e-09,0.00012843574857235494,0.02897806740198037,0.00012460140042582489,0.17788028197216835,0.02897806740198037,0.00012460140042582489,4.440892098500626e-16,0.00014789187008793344,0.0,0.08998814104450403,0.5499668459222353,0.00012606960447270055,0.004335212969612483
B_setup,inner_shoulder,1.0,1.1725122955710758,7.998397959790916,-0.1306222258959916,-0.1306222258959916,0.03644700082552726,0.00124956718139975,0.028974705950399218,0.00018627549910499316,1.7310740989307438,0.028974705950399218,0.00018627549910499316,4.440892098500626e-16,0.006885287358318534,0.0,1.4569095347685916,1.9873543143989352,0.00021927337838656413,0.007540253638840535
B_setup,outer_shoulder,1.0,2.8786707814572794,7.962897788476428,-0.001336292832839795,-0.001336292832839795,0.0007372778321382422,0.00047263982437922316,0.02890002234003915,1.0391301115465543e-07,0.6560955969633393,0.02890002234003915,1.0391301115465543e-07,4.440892098500626e-16,0.03172880956101496,0.0,0.9761860873368988,0.029283001580536094,2.9913134902415095e-07,1.0286366090985298e-05
B_setup,shoulder,1.0,1.1725122955710758,7.998397959790916,-0.1306222258959916,-0.1306222258959916,0.03644700082552726,0.00124956718139975,0.028974705950399218,0.00018627549910499316,1.7310740989307438,0.028974705950399218,0.00018627549910499316,4.440892098500626e-16,0.03172880956101496,0.0,1.4569095347685916,1.9873543143989352,0.00021927337838656413,0.007540253638840535
B_setup,matching,1.0,4.639062405271132,7.711345234524925,-0.0007779574218797199,-0.0007779574218797199,-1.1857528057044302e-05,0.0002984613307037586,0.028362719576921894,1.3485123941297553e-15,0.42098570212592856,0.028362719576921894,1.3485123941297553e-15,4.440892098500626e-16,0.22864340524411364,0.0,0.9938836681577925,0.01001792531004142,1.0658141036401503e-14,6.558856022400925e-14
B_setup,exterior,1.0,9.085202254215366,4.600304082785094,-0.0007876357113974321,-0.0007876357113974321,-2.0628346277042925e-06,0.00011700417051296729,0.020254669570620512,1.34491889406719e-15,0.21880060439274457,0.020254669570620512,1.34491889406719e-15,4.440892098500626e-16,0.3341860067499786,0.0,0.9974514395456993,0.0013335670464229565,1.7763568394002505e-14,1.0202664923734772e-13
R_open,access,1.0,1.0,8.0,-0.0022772607985988864,-0.0022772607985988864,-3.2295928881241046e-07,0.0008483367530142467,4.37790688390662e-09,0.010393031323697179,0.06257550200873413,4.37790688390662e-09,0.010393031323697179,4.440892098500626e-16,4.913999641115358e-06,0.0,0.23309665598787177,0.9983189121950979,0.010550341595735535,0.006354852776167864
R_open,support,1.0,1.0,8.0,-0.006779381657957974,-0.006779381657957974,0.0018138577469635794,0.0016952349408376596,4.37790688390662e-09,0.0788533980641745,0.23554346663740594,4.37790688390662e-09,0.0788533980641745,4.440892098500626e-16,0.00014789187013468637,0.0,0.5994899541387255,0.9983189121950979,0.08855012789787331,0.05333694847654871
R_open,inner_shoulder,1.0,1.1726187705986948,7.998397976860842,-0.00818658058102327,-0.00818658058102327,0.004303010841715344,0.0011589528835669676,4.377780835706371e-09,0.11263346650476132,0.3629673737803365,4.377780835706371e-09,0.11263346650476132,4.440892098500626e-16,0.006885287360430504,0.0,1.4567582774971761,1.9868984348298788,0.15401559941389964,0.09276917250755431
R_open,outer_shoulder,1.0,2.878670927283812,7.962897805459765,-2.568146596116129e-05,-2.568146596116129e-05,7.299187919781188e-06,8.51483071759771e-06,4.374992604816505e-09,7.297990641176275e-05,0.08241953914348882,4.374992604816505e-09,7.297990641176275e-05,4.440892098500626e-16,0.03172880957103881,0.0,0.9761860873368988,0.04185730367005647,0.00021010710179680814,0.00012655511549898606
R_open,shoulder,1.0,1.1726187705986948,7.998397976860842,-0.00818658058102327,-0.00818658058102327,0.004303010841715344,0.0011589528835669676,4.377780835706371e-09,0.11263346650476132,0.3629673737803365,4.377780835706371e-09,0.11263346650476132,4.440892098500626e-16,0.03172880957103881,0.0,1.4567582774971761,1.9868984348298788,0.15401559941389964,0.09276917250755431
R_open,matching,1.0,4.639062405271132,7.711345250894697,-9.362428538465509e-05,-9.362428538465509e-05,-1.2006099777817171e-05,9.458781953635982e-12,4.354495792960835e-09,7.977962803264405e-16,0.05459302993561202,4.354495792960835e-09,7.977962803264405e-16,4.440892098500626e-16,0.22864340536451244,0.0,0.9938836681577925,0.01001792531004142,7.105427357601002e-15,1.4575235605340998e-14
R_open,exterior,1.0,9.085202254215366,4.600304091566665,-0.0007824350688057228,-0.0007824350688057228,-9.537256540444959e-05,8.526571735892506e-12,3.915715162840341e-09,7.744621350096809e-16,0.12338806545852471,3.915715162840341e-09,7.744621350096809e-16,4.440892098500626e-16,0.3341860071090488,0.0,0.9974514395456993,0.0013335670464229565,7.105427357601002e-15,1.4575235605340998e-14
hold,access,1.0,1.0,8.0,-0.0012422809444958757,-0.0012422809444958757,-0.0010511123717975859,4.260385159618583e-06,4.440893387709526e-16,5.2194268676954784e-05,0.056813817208941034,4.440893387709526e-16,5.2194268676954784e-05,4.440892098500626e-16,4.913999641115358e-06,0.0,0.23327911457960226,0.9991016163641906,5.367641943765378e-05,0.0008835666130516008
hold,support,1.0,1.0,8.0,-0.0012422809444958757,-0.0012422809444958757,-5.2885739911159746e-05,7.865174620758747e-06,4.441015048485806e-16,0.0003604094721030293,0.12070202376714623,4.441015048485806e-16,0.0003604094721030293,4.440892098500626e-16,0.00014789187013468637,0.0,0.5998894156511021,0.9991016163641906,0.00045051184012878664,0.007415867617363905
hold,inner_shoulder,1.0,1.5852129194527784,7.998397976860842,-0.00019752382853356447,-0.00019752382853356447,0.00045242734318598997,5.483352369839484e-06,8.91469644180893e-16,0.0004923584063214239,0.12336908151261976,8.91469644180893e-16,0.0004923584063214239,4.440892098500626e-16,0.006885287360430504,0.0,0.93774261989266,0.2512174378567913,0.0007835770850666002,0.012898448860286143
hold,outer_shoulder,1.0,2.879236009777595,7.962897805459765,-2.1082673508010172e-05,-2.1082673508010172e-05,-1.1329998297987271e-05,4.331648416456105e-08,9.099383429204984e-16,3.7126198653754697e-07,0.08180299138193037,9.099383429204984e-16,3.7126198653754697e-07,4.440892098500626e-16,0.03172880957103881,0.0,0.9761860873368988,0.04191103478845726,1.06895088070047e-06,1.7595981952411497e-05
hold,shoulder,1.0,1.5852129194527784,7.998397976860842,-0.00019752382853356447,-0.00019752382853356447,0.00045242734318598997,5.483352369839484e-06,9.099383429204984e-16,0.0004923584063214239,0.12336908151261976,9.099383429204984e-16,0.0004923584063214239,4.440892098500626e-16,0.03172880957103881,0.0,0.9761860873368988,0.2512174378567913,0.0007835770850666002,0.012898448860286143
hold,matching,1.0,4.639062405271132,7.711345250894697,-9.362427058997474e-05,-9.362427058997474e-05,-1.2006099777817171e-05,1.1187358936320227e-16,7.5661136321962e-16,7.977962803264405e-16,0.05459302993561202,7.5661136321962e-16,7.977962803264405e-16,4.440892098500626e-16,0.22864340536451244,0.0,0.9938836681577925,0.01001792531004142,7.105427357601002e-15,1.4575235605340998e-14
hold,exterior,1.0,9.085202254215366,4.600304091566665,-0.0007824350566297141,-0.0007824350566297141,-9.537256540444959e-05,4.331943679963927e-16,9.039123914117649e-16,7.744621350096809e-16,0.12338806545852471,9.039123914117649e-16,7.744621350096809e-16,4.440892098500626e-16,0.3341860071090488,0.0,0.9974514395456993,0.0013335670464229565,7.105427357601002e-15,1.4575235605340998e-14
R_close,access,1.0,1.0,8.0,-0.002276637194100788,-0.002276637194100788,-2.5027184142490644e-07,0.0008489981906006407,4.440893387709526e-16,0.010401134640604909,0.06259359677950795,4.440893387709526e-16,0.010401134640604909,2.4926727348884015e-12,4.913999641115358e-06,0.0,0.23306438892802817,0.9981804941463417,0.010557186698146648,0.006360405445446539
R_close,support,1.0,1.0,8.0,-0.0067776967888696785,-0.0067776967888696785,0.0018185119374207212,0.0016945185354414086,4.441015048485806e-16,0.0788289979219318,0.23565470101902136,4.441015048485806e-16,0.0788289979219318,5.136160790009114e-07,0.00014789187013468637,0.0,0.5994193109949713,0.9981804941463417,0.08860757956316068,0.05338355261446139
R_close,inner_shoulder,1.0,1.1725946229094257,7.998397976860842,-0.008198504316107363,-0.008198504316107363,0.004311800916585244,0.00115822753914574,8.91469644180893e-16,0.11264649656541212,0.36281039828531386,8.91469644180893e-16,0.11264649656541212,0.000164963958743769,0.006885287360430504,0.0,1.4567925814430964,1.9870018246897523,0.1541155253301758,0.09285023127512845
R_close,outer_shoulder,1.0,2.8786708942115147,7.962897805459765,-2.5667635405987957e-05,-2.5667635405987957e-05,7.389326733439033e-06,8.520362997398675e-06,9.099383429204984e-16,7.302732312173772e-05,0.08241937718008184,9.099383429204984e-16,7.302732312173772e-05,0.00016079448006234287,0.03172880957103881,0.0,0.9761860873368988,0.04184780154024814,0.0002102434200965675,0.0001266656953501308
R_close,shoulder,1.0,1.1725946229094257,7.998397976860842,-0.008198504316107363,-0.008198504316107363,0.004311800916585244,0.00115822753914574,9.099383429204984e-16,0.11264649656541212,0.36281039828531386,9.099383429204984e-16,0.11264649656541212,0.000164963958743769,0.03172880957103881,0.0,1.4567925814430964,1.9870018246897523,0.1541155253301758,0.09285023127512845
R_close,matching,1.0,4.639062405271132,7.711345250894697,-9.362427058997474e-05,-9.362427058997474e-05,-1.2006099777817171e-05,1.1187358936320227e-16,7.5661136321962e-16,7.977962803264405e-16,0.05459302993561202,7.5661136321962e-16,7.977962803264405e-16,3.552713678800501e-15,0.22864340536451244,0.0,0.9938836681577925,0.01001792531004142,7.105427357601002e-15,1.4575235605340998e-14
R_close,exterior,1.0,9.085202254215366,4.600304091566665,-0.0007824350566297141,-0.0007824350566297141,-9.537256540444959e-05,4.331943679963927e-16,9.039123914117649e-16,7.744621350096809e-16,0.12338806545852471,9.039123914117649e-16,7.744621350096809e-16,4.440892098500626e-16,0.3341860071090488,0.0,0.9974514395456993,0.0013335670464229565,7.105427357601002e-15,1.4575235605340998e-14
comp,access,0.9999999972813745,1.0,8.0,-4.910079328289246e-05,-4.545569781562511e-05,0.008198357625344582,9.479901762642336e-07,4.3779064398185485e-09,1.1613892198046947e-05,0.00011720261644887877,4.3779064398185485e-09,1.1613892198046947e-05,4.182618700931957e-10,4.913999641115358e-06,1.1094343252045993e-07,0.0003759046216025297,0.007837814461927346,1.1614059115760966e-05,0.0004707357486475161
comp,support,0.9994396812210625,1.0,8.0,-0.0009907647386164977,-0.000988500238409175,0.008198357625344582,2.055114017451152e-06,4.3779064398185485e-09,9.634281812030228e-05,0.022428336479176376,4.3779064398185485e-09,9.634281812030228e-05,8.62269016115148e-05,0.00014789187013468637,0.008523761118178153,0.08998814104450403,0.5499668459222353,9.74780210456494e-05,0.003950934703913807
comp,inner_shoulder,0.82003599999964,1.1725122955710758,7.998397976860842,-0.0025060397207844367,-0.0025056989595201914,0.0024556734927659845,1.374073517708483e-06,4.378099371924118e-09,0.0001440328205737629,0.21668052339266256,4.378099371924118e-09,0.0001440328205737629,0.03025146437894955,0.006885287360430504,0.2996107673391758,1.4569095347685916,1.9873543143989352,0.0001695439204598692,0.006871876880519692
comp,outer_shoulder,0.8245846060536299,2.8786707814572794,7.962897805459765,-1.5222366244855902e-05,-1.455468268139928e-05,0.0018829297868493975,9.375053452069165e-09,4.375672775894975e-09,8.035266544941172e-08,0.08239423544951348,4.375672775894975e-09,8.035266544941172e-08,0.029414576537021966,0.03172880957103881,0.2998775022399438,0.9761860873368988,0.029283001580536094,2.3129073856154037e-07,9.374570764792077e-06
comp,shoulder,0.82003599999964,1.1725122955710758,7.998397976860842,-0.0025060397207844367,-0.0025056989595201914,0.0024556734927659845,1.374073517708483e-06,4.378099371924118e-09,0.0001440328205737629,0.21668052339266256,4.378099371924118e-09,0.0001440328205737629,0.03025146437894955,0.03172880957103881,0.2998775022399438,1.4569095347685916,1.9873543143989352,0.0001695439204598692,0.006871876880519692
comp,matching,0.9999999999967251,4.639062405271132,7.711345250894697,-9.362428538471771e-05,-9.362428538471771e-05,-1.2006099690616022e-05,9.458781453258936e-12,4.354495562604564e-09,7.977962803264405e-16,0.05459302993561202,4.354495562604564e-09,7.977962803264405e-16,5.035971639707212e-13,0.22864340536451244,1.870645860441742e-10,0.9938836681577925,0.01001792531004142,7.105427357601002e-15,1.4575235605340998e-14
comp,exterior,1.0,9.085202254215366,4.600304091566665,-0.0007824350688058088,-0.0007824350688058088,-9.537256540444959e-05,8.526570625353522e-12,3.915715162840341e-09,7.744621350096809e-16,0.12338806545852471,3.915715162840341e-09,7.744621350096809e-16,4.440892098500626e-16,0.3341860071090488,0.0,0.9974514395456993,0.0013335670464229565,7.105427357601002e-15,1.4575235605340998e-14
B_reset,access,1.0,1.0,7.999999982926166,-0.0006237046396638023,-0.0006237046396638023,-2.456656836291593e-09,5.428319645324701e-07,0.028978067401980827,8.881782180884337e-16,0.0007517984381721581,0.028978067401980827,8.881782180884337e-16,4.944933351680447e-12,4.9139996409448155e-06,0.0,0.0003759046216025297,0.007837814461927346,8.881784197001252e-16,5.465713352000219e-15
B_reset,support,1.0,1.0,7.999999982926166,-0.04325532858193613,-0.04325532858193613,-2.456656836291593e-09,0.0001284357485723565,0.028978067401980827,1.7732369799082103e-15,0.1778802819721701,0.028978067401980827,1.7732369799082103e-15,1.0191801615988538e-06,0.00014789187008793344,0.0,0.08998814104450403,0.5499668459222353,1.7763568394002505e-15,1.45752356053342e-14
B_reset,inner_shoulder,1.0,1.1725122955710758,7.998397959790916,-0.1306222258959926,-0.1306222258959926,0.036447000825530915,0.0012495671813995083,0.028974705950399225,1.5150006069105401e-15,1.7310740989307423,0.028974705950399225,1.5150006069105401e-15,0.0003273417659572786,0.006885287358318534,0.0,1.4569095347685916,1.9873543143989352,3.552713678800501e-15,2.91504712106684e-14
B_reset,outer_shoulder,1.0,2.8786707814572794,7.962897788476428,-0.0013362928328410088,-0.0013362928328410088,0.0007372778321376021,0.0004726398243795227,0.02890002234003961,1.2103414982763397e-15,0.6560955969633393,0.02890002234003961,1.2103414982763397e-15,0.0003190681738036716,0.03172880956101496,0.0,0.9761860873368988,0.029283001580536094,3.552713678800501e-15,3.6438089013335925e-14
B_reset,shoulder,1.0,1.1725122955710758,7.998397959790916,-0.1306222258959926,-0.1306222258959926,0.036447000825530915,0.0012495671813995083,0.028974705950399225,1.5150006069105401e-15,1.7310740989307423,0.028974705950399225,1.5150006069105401e-15,0.0003273417659572786,0.03172880956101496,0.0,1.4569095347685916,1.9873543143989352,3.552713678800501e-15,3.6438089013335925e-14
B_reset,matching,1.0,4.639062405271132,7.711345234524925,-0.0007779574218796646,-0.0007779574218796646,-1.1857528056964248e-05,0.00029846133070375835,0.028362719576922345,1.7412073134813471e-15,0.42098570212592934,0.028362719576922345,1.7412073134813471e-15,5.773159728050814e-15,0.22864340524411364,0.0,0.9938836681577925,0.01001792531004142,1.4210854715202004e-14,1.166018848426736e-13
B_reset,exterior,1.0,9.085202254215366,4.600304082785094,-0.0007876357113968675,-0.0007876357113968675,-2.0628346269024687e-06,0.00011700417051334557,0.020254669570620252,1.4954445438490161e-15,0.218800604392743,0.020254669570620252,1.4954445438490161e-15,4.440892098500626e-16,0.3341860067499786,0.0,0.9974514395456993,0.0013335670464229565,1.4210854715202004e-14,1.457523560533437e-13
open_interval,access,1.0,1.0,8.0,-0.0022772607985988864,-0.0022772607985988864,-2.5027184142490644e-07,0.0008489981906006407,4.37790688390662e-09,0.010401134640604909,0.06259359677950795,4.37790688390662e-09,0.010401134640604909,2.4926727348884015e-12,4.913999641115358e-06,0.0,0.23327911457960226,0.9991016163641906,0.010557186698146648,0.006360405445446539
open_interval,support,1.0,1.0,8.0,-0.006779381657957974,-0.006779381657957974,0.0018185119374207212,0.0016952349408376596,4.37790688390662e-09,0.0788533980641745,0.23565470101902136,4.37790688390662e-09,0.0788533980641745,5.136160790009114e-07,0.00014789187013468637,0.0,0.5998894156511021,0.9991016163641906,0.08860757956316068,0.05338355261446139
open_interval,inner_shoulder,1.0,1.1725946229094257,7.998397976860842,-0.008198504316107363,-0.008198504316107363,0.004311800916585244,0.0011589528835669676,4.377780835706371e-09,0.11264649656541212,0.3629673737803365,4.377780835706371e-09,0.11264649656541212,0.000164963958743769,0.006885287360430504,0.0,1.4567925814430964,1.9870018246897523,0.1541155253301758,0.09285023127512845
open_interval,outer_shoulder,1.0,2.8786708942115147,7.962897805459765,-2.568146596116129e-05,-2.568146596116129e-05,7.389326733439033e-06,8.520362997398675e-06,4.374992604816505e-09,7.302732312173772e-05,0.08241953914348882,4.374992604816505e-09,7.302732312173772e-05,0.00016079448006234287,0.03172880957103881,0.0,0.9761860873368988,0.04191103478845726,0.0002102434200965675,0.0001266656953501308
open_interval,shoulder,1.0,1.1725946229094257,7.998397976860842,-0.008198504316107363,-0.008198504316107363,0.004311800916585244,0.0011589528835669676,4.377780835706371e-09,0.11264649656541212,0.3629673737803365,4.377780835706371e-09,0.11264649656541212,0.000164963958743769,0.03172880957103881,0.0,1.4567925814430964,1.9870018246897523,0.1541155253301758,0.09285023127512845
open_interval,matching,1.0,4.639062405271132,7.711345250894697,-9.362428538465509e-05,-9.362428538465509e-05,-1.2006099777817171e-05,9.458781953635982e-12,4.354495792960835e-09,7.977962803264405e-16,0.05459302993561202,4.354495792960835e-09,7.977962803264405e-16,3.552713678800501e-15,0.22864340536451244,0.0,0.9938836681577925,0.01001792531004142,7.105427357601002e-15,1.4575235605340998e-14
open_interval,exterior,1.0,9.085202254215366,4.600304091566665,-0.0007824350688057228,-0.0007824350688057228,-9.537256540444959e-05,8.526571735892506e-12,3.915715162840341e-09,7.744621350096809e-16,0.12338806545852471,3.915715162840341e-09,7.744621350096809e-16,4.440892098500626e-16,0.3341860071090488,0.0,0.9974514395456993,0.0013335670464229565,7.105427357601002e-15,1.4575235605340998e-14
full_cycle,access,0.9999999972813745,1.0,8.0,-0.0022772607985988864,-0.0022772607985988864,0.008198357625344582,0.0008489981906006407,0.028978067401980827,0.010401134640604909,0.06259359677950795,0.028978067401980827,0.010401134640604909,4.182618700931957e-10,4.913999641115358e-06,1.1094343252045993e-07,0.23327911457960226,0.9991016163641906,0.010557186698146648,0.006360405445446539
full_cycle,support,0.9994396812210625,1.0,8.0,-0.04325532858193613,-0.04325532858193613,0.008198357625344582,0.0016952349408376596,0.028978067401980827,0.0788533980641745,0.23565470101902136,0.028978067401980827,0.0788533980641745,8.62269016115148e-05,0.00014789187013468637,0.008523761118178153,0.5998894156511021,0.9991016163641906,0.08860757956316068,0.05338355261446139
full_cycle,inner_shoulder,0.82003599999964,1.1725122955710758,7.998397976860842,-0.1306222258959926,-0.1306222258959926,0.036447000825530915,0.00124956718139975,0.028974705950399225,0.11264649656541212,1.7310740989307438,0.028974705950399225,0.11264649656541212,0.03025146437894955,0.006885287360430504,0.2996107673391758,1.4569095347685916,1.9873543143989352,0.1541155253301758,0.09285023127512845
full_cycle,outer_shoulder,0.8245846060536299,2.8786707814572794,7.962897805459765,-0.0013362928328410088,-0.0013362928328410088,0.0018829297868493975,0.0004726398243795227,0.02890002234003961,7.302732312173772e-05,0.6560955969633393,0.02890002234003961,7.302732312173772e-05,0.029414576537021966,0.03172880957103881,0.2998775022399438,0.9761860873368988,0.04191103478845726,0.0002102434200965675,0.0001266656953501308
full_cycle,shoulder,0.82003599999964,1.1725122955710758,7.998397976860842,-0.1306222258959926,-0.1306222258959926,0.036447000825530915,0.00124956718139975,0.028974705950399225,0.11264649656541212,1.7310740989307438,0.028974705950399225,0.11264649656541212,0.03025146437894955,0.03172880957103881,0.2998775022399438,1.4569095347685916,1.9873543143989352,0.1541155253301758,0.09285023127512845
full_cycle,matching,0.9999999999967251,4.639062405271132,7.711345250894697,-0.0007779574218797199,-0.0007779574218797199,-1.1857528056964248e-05,0.0002984613307037586,0.028362719576922345,1.7412073134813471e-15,0.42098570212592934,0.028362719576922345,1.7412073134813471e-15,5.035971639707212e-13,0.22864340536451244,1.870645860441742e-10,0.9938836681577925,0.01001792531004142,1.4210854715202004e-14,1.166018848426736e-13
full_cycle,exterior,1.0,9.085202254215366,4.600304091566665,-0.0007876357113974321,-0.0007876357113974321,-2.0628346269024687e-06,0.00011700417051334557,0.020254669570620512,1.4954445438490161e-15,0.21880060439274457,0.020254669570620512,1.4954445438490161e-15,4.440892098500626e-16,0.3341860071090488,0.0,0.9974514395456993,0.0013335670464229565,1.7763568394002505e-14,1.457523560533437e-13
