case,zone,qi_min_sampled_avg,qi_max_sampled_avg,qi_positive_sample_fraction,qi_strict_L0max_planck_units,qi_strict_log10_L0max,qi_strict_tau0,qi_strict_t0,qi_strict_l,qi_strict_avg
static_reference,access_core,-0.03975693022372609,-0.03555242776078432,0.0,0.48879791386624205,-0.31087065628087235,1.0,0.782,0.0,-0.03975693022372609
static_reference,support_inner,-0.03975693022372609,-0.023851087271914453,0.0,0.48879791386624205,-0.31087065628087235,1.0,0.782,0.0,-0.03975693022372609
static_reference,repayment_band,-0.019309965424224522,-0.007528156022991152,0.0,0.7013664983688684,-0.1540549825677452,1.0,-1.02,-0.6600000000000001,-0.019309965424224515
static_reference,buffer_band,-0.005945689735610873,-0.0018730462313314967,0.0,1.2639638241062374,0.10173464418697625,1.0,-0.782,-1.2599999999999998,-0.005945689735610872
static_reference,outer_field,-0.0013599939100074263,-0.00031500926787198544,0.0,2.6428181679941063,0.4220672836941987,1.0,-1.02,2.1000000000000005,-0.0013599939100074256
sideband_repay_only,access_core,-0.03975693022372609,-0.03555242776078432,0.0,0.48879791386624205,-0.31087065628087235,1.0,0.782,0.0,-0.03975693022372609
sideband_repay_only,support_inner,-0.18037966799506056,0.13281001688498292,0.03278688524590164,0.48879791386624205,-0.31087065628087235,1.0,0.782,0.0,-0.03975693022372609
sideband_repay_only,repayment_band,-0.26933205955084377,0.21123020159432154,0.3103825136612022,0.5148959317451811,-0.2882805395722579,1.0,1.02,-0.7199999999999998,-0.03582882866025726
sideband_repay_only,buffer_band,-0.11545915252522673,0.10391556529885647,0.175591985428051,0.8330199268529694,-0.07934460961508887,1.0,-1.02,-1.2599999999999998,-0.0136886541265505
sideband_repay_only,outer_field,-0.006145850241492446,0.003538025595489834,0.015300546448087432,2.8198985517909665,0.4502334844931584,1.0,0.0,2.1000000000000005,-0.0011945506309667358
protected_core_sidecycle,access_core,-0.03975693022372609,-0.03555242776078432,0.0,0.48879791386624205,-0.31087065628087235,1.0,0.782,0.0,-0.03975693022372609
protected_core_sidecycle,support_inner,-0.19636051739873703,0.14890541380675051,0.025136612021857924,0.48879791386624205,-0.31087065628087235,1.0,0.782,0.0,-0.03975693022372609
protected_core_sidecycle,repayment_band,-0.3006601713043991,0.29361194657721085,0.7757741347905283,0.9814566962774703,-0.008128857533791634,1.0,1.02,1.1399999999999997,-0.009861188170997688
protected_core_sidecycle,buffer_band,-0.14980645225910286,0.1420700267177815,0.8007285974499089,2.2434340128996437,0.3509132999644708,1.0,-1.02,-1.2599999999999998,-0.001887317344417063
protected_core_sidecycle,outer_field,-0.012909562320173165,0.011336863779885069,0.5069216757741348,3.286353173045019,0.5167142337377052,1.0,1.02,2.1000000000000005,-0.0008795146209925743
delayed_side_repay_with_static_core,access_core,-0.03975693022372609,-0.03555242776078432,0.0,0.48879791386624205,-0.31087065628087235,1.0,0.782,0.0,-0.03975693022372609
delayed_side_repay_with_static_core,support_inner,-0.21573157545197702,0.03575882656152535,0.003278688524590164,0.48042333232532425,-0.3183759087335959,1.0,0.3400000000000001,-0.54,-0.04115507035716384
delayed_side_repay_with_static_core,repayment_band,-0.11025617993800887,0.28912299189062646,0.3105646630236794,0.5948823498225183,-0.2255689164144192,1.0,0.3400000000000001,-0.6600000000000001,-0.026841659563285998
delayed_side_repay_with_static_core,buffer_band,-0.16367893646340786,0.03470697755434348,0.03224043715846994,0.6350403751185844,-0.19719866189892502,1.0,0.3740000000000001,-1.2599999999999998,-0.023554226925653232
delayed_side_repay_with_static_core,outer_field,-0.0013519044369625305,0.0052512621120178815,0.01347905282331512,2.9838044605241754,0.4747703588482527,1.0,-1.02,-2.26,-0.0010669174377455845
mild_split_phase,access_core,-0.10010198685458012,0.025367586320593855,0.036065573770491806,0.4760904023033124,-0.3223105735532663,1.0,-1.02,-0.19999999999999973,-0.04190758920375607
mild_split_phase,support_inner,-0.1372675368308515,0.0895643798225461,0.07941712204007285,0.47982257200369227,-0.31891932563440417,1.0,-1.02,0.2400000000000002,-0.04125819102200707
mild_split_phase,repayment_band,-0.21649005905804475,0.17030356606830216,0.24735883424408014,0.505580085039184,-0.2962100413869255,1.0,1.02,-0.7199999999999998,-0.03716136121770925
mild_split_phase,buffer_band,-0.09454559441053297,0.08196103967665296,0.20255009107468125,0.8271936895583681,-0.08239278735510452,1.0,-1.02,-1.2599999999999998,-0.013882161922015407
mild_split_phase,outer_field,-0.005131332638862569,0.0023553243940106798,0.008014571948998178,2.653251035352471,0.4237783423723031,1.0,0.0,2.1000000000000005,-0.00134931965396157
fast_split_phase,access_core,-0.08807155628958215,0.054936595023133555,0.8269581056466302,1.1713280556726915,0.06867854564047504,1.0,-1.02,0.2400000000000002,-0.006923320546857304
fast_split_phase,support_inner,-0.1428255358686803,0.0951422403802843,0.3806921675774135,0.5746876964120812,-0.24056810065217157,1.0,1.02,-0.3799999999999999,-0.028761248358402155
fast_split_phase,repayment_band,-0.17914585202738106,0.21919237446008802,0.9298724954462659,167.8727271297504,2.2249801456964904,0.1,-0.952,-0.6600000000000001,-0.0033706312243421926
fast_split_phase,buffer_band,-0.09177051680367504,0.09272785650592788,0.7564663023679418,1.8650817738667997,0.2706978780538514,1.0,-1.02,-1.2599999999999998,-0.002730711220857376
fast_split_phase,outer_field,-0.005120697480364634,0.0024040729539503156,0.006557377049180328,2.4958087076487425,0.3972112955952242,1.0,1.02,2.1000000000000005,-0.0015249265990627762
ultrafast_tiny_core,access_core,-0.0009190795574563635,0.04161479023070176,0.9981785063752276,8037.097204963642,3.905099220949998,0.02,-0.884,0.2400000000000002,-0.0009190795574563635
ultrafast_tiny_core,support_inner,-0.05282695711607537,0.04161479023070176,0.4692167577413479,0.5932798303686803,-0.22674041604562573,1.0,1.02,-0.45999999999999996,-0.026986860437364354
ultrafast_tiny_core,repayment_band,0.04304500211652587,0.46815122757992644,1.0,inf,inf,,,,
ultrafast_tiny_core,buffer_band,-0.010034338576412536,0.03385402863899854,0.992896174863388,2432.379859767928,3.386031398774565,0.02,-0.884,-1.2599999999999998,-0.010034338576412536
ultrafast_tiny_core,outer_field,-0.0022786925668364356,-0.00031500926787198544,0.0,2.5996987016444058,0.41492301728017766,1.0,1.02,2.1000000000000005,-0.001405482674688714
aggressive_core_phase,access_core,0.1538171321362956,0.6416650762829561,1.0,inf,inf,,,,
aggressive_core_phase,support_inner,-0.14345164520893794,0.6416650762829561,0.7034608378870674,0.5822839562880955,-0.23486517587435357,1.0,1.02,-0.45999999999999996,-0.02801572609651739
aggressive_core_phase,repayment_band,0.030516388500154524,0.864427255236412,1.0,inf,inf,,,,
aggressive_core_phase,buffer_band,-0.08137266194287378,0.11578283693509338,0.9797814207650273,325.5453751477137,2.51261152993297,0.05,-1.02,-1.2599999999999998,-0.014340637363766331
aggressive_core_phase,outer_field,-0.004926290152136146,0.002196823784943079,0.004371584699453552,2.6916702874120824,0.4300218604823747,1.0,0.0,2.1000000000000005,-0.0013110758267011417
short_access_pulse_repay_shoulders,access_core,-0.8746226239483067,1.636461829834657,0.15737704918032788,0.1090442136564032,-0.9623973749616483,1.0,1.02,0.2400000000000002,-0.7988519155844626
short_access_pulse_repay_shoulders,support_inner,-0.8746226239483067,1.636461829834657,0.45792349726775955,0.1090442136564032,-0.9623973749616483,1.0,1.02,0.2400000000000002,-0.7988519155844626
short_access_pulse_repay_shoulders,repayment_band,-0.13037829202106857,0.36531996464175787,0.39326047358834243,0.5815029296460623,-0.23544809292880234,1.0,0.17000000000000015,-0.6600000000000001,-0.028091033448397813
short_access_pulse_repay_shoulders,buffer_band,-0.20020675168077293,0.020158049139633788,0.029690346083788708,0.5894442022328132,-0.2295572996601687,1.0,0.20400000000000018,-1.2599999999999998,-0.027339220663270193
short_access_pulse_repay_shoulders,outer_field,-0.0013512327419212755,0.007407278366615772,0.011657559198542805,2.9838103053022005,0.4747712095582747,1.0,-1.02,-2.26,-0.001066913257929276
outward_repayment_wave,access_core,-0.41375277778786823,1.039187901056482,0.03989071038251366,0.16216882025922533,-0.7900326426713813,1.0,-1.02,0.2400000000000002,-0.3611909136213529
outward_repayment_wave,support_inner,-0.41375277778786823,0.9846085511173321,0.4231329690346084,0.16216882025922533,-0.7900326426713813,1.0,-1.02,0.2400000000000002,-0.3611909136213529
outward_repayment_wave,repayment_band,-0.09375802295836728,0.14400370812616028,0.023679417122040074,0.7701579540592696,-0.11342019490374187,1.0,-1.02,-0.6600000000000001,-0.016014446053137083
outward_repayment_wave,buffer_band,-0.035615818354021535,0.09134313025203922,0.21311475409836064,1.6042238643885056,0.20526497260445425,1.0,-1.02,-1.2599999999999998,-0.0036909790980670437
outward_repayment_wave,outer_field,-0.019266721732168594,0.012594790239452314,0.010564663023679418,2.1321689067244813,0.3288216057732887,1.0,0.3400000000000001,2.1000000000000005,-0.0020894323740716695
